순위,종목코드,종목명,시장구분,종가,대비,등락률,거래량,거래대금,시가총액,시가총액비중,상장주식수
"1","005930","삼성전자","KOSPI","78200","800","1.03","21604528","1681184112100","466836995410000","17.37","5969782550"
"2","000660","SK하이닉스","KOSPI","123500","3500","2.92","5631833","689409143200","89908292077500","3.34","728002365"
"3","035420","NAVER","KOSPI","399500","4500","1.14","748143","297838445500","65623226302500","2.44","164263395"
"4","207940","삼성바이오로직스","KOSPI","916000","2000","0.22","96606","88142052000","60607140000000","2.25","66165000"
"5","005935","삼성전자우","KOSPI","70600","0","0.00","1415020","99829927200","58095801020000","2.16","822886700"
"6","035720","카카오","KOSPI","122500","1500","1.24","2338843","284015537000","54598035135000","2.03","445698246"
"7","051910","LG화학","KOSPI","747000","-4000","-0.53","371186","279214874280","52732480221000","1.96","70592343"
"8","006400","삼성SDI","KOSPI","708000","-2000","-0.28","313022","222294351000","48685287240000","1.81","68764530"
"9","005380","현대차","KOSPI","207000","-500","-0.24","775215","161068910500","44229314709000","1.65","213668187"
"10","000270","기아","KOSPI","84100","900","1.08","1774961","149129523059","34091057482700","1.27","405363347"
"11","323410","카카오뱅크","KOSPI","64200","-3300","-4.89","12816162","814769094500","30505223015400","1.13","475159237"
"12","068270","셀트리온","KOSPI","211000","3500","1.69","810939","170359846000","29106844008000","1.08","137947128"
"13","377300","카카오페이","KOSPI","208500","6500","3.22","1752401","367610840500","27181545562500","1.01","130367125"
"14","005490","POSCO","KOSPI","295000","5000","1.72","696363","202277583500","25720116325000","0.96","87186835"
"15","105560","KB금융","KOSPI","57600","100","0.17","1587365","91025586200","23950536192000","0.89","415807920"
"16","259960","크래프톤","KOSPI","479000","14500","3.12","307844","146866076500","23450185055000","0.87","48956545"
"17","012330","현대모비스","KOSPI","241500","500","0.21","415387","100299429000","22839402201000","0.85","94573094"
"18","028260","삼성물산","KOSPI","117500","1000","0.86","671444","78401962000","21959232017500","0.82","186887081"
"19","066570","LG전자","KOSPI","123000","-500","-0.40","1151051","141821136000","20128681122000","0.75","163647814"
"20","055550","신한지주","KOSPI","37650","100","0.27","1866503","70133805950","19449973208100","0.72","516599554"
"21","096770","SK이노베이션","KOSPI","208000","500","0.24","414343","86468556500","19232837312000","0.72","92465564"
"22","302440","SK바이오사이언스","KOSPI","249500","7000","2.89","540786","134036157000","19086750000000","0.71","76500000"
"23","034730","SK","KOSPI","265000","-1000","-0.38","234469","62004442000","18645478705000","0.69","70360297"
"24","051900","LG생활건강","KOSPI","1172000","10000","0.86","73883","86720663550","18304526884000","0.68","15618197"
"25","036570","엔씨소프트","KOSPI","737000","5000","0.68","279949","206588147000","16180114214000","0.60","21954022"
"26","352820","하이브","KOSPI","354500","13500","3.96","541135","191810849500","14659775691500","0.55","41353387"
"27","015760","한국전력","KOSPI","22350","150","0.68","1625508","36246329850","14347897120950","0.53","641964077"
"28","011200","HMM","KOSPI","27650","250","0.91","2098100","57816815300","13521942064400","0.50","489039496"
"29","032830","삼성생명","KOSPI","67200","100","0.15","428498","28768906800","13440000000000","0.50","200000000"
"30","009150","삼성전기","KOSPI","177000","1000","0.57","747694","132857686000","13220784192000","0.49","74693696"
"31","003550","LG","KOSPI","84000","400","0.48","437588","36816869400","13213283412000","0.49","157300993"
"32","091990","셀트리온헬스케어","KOSDAQ","83900","2900","3.58","1094688","90599715700","13006890982200","0.48","155028498"
"33","086790","하나금융지주","KOSPI","43300","100","0.23","1862298","80629066951","13000481284600","0.48","300242062"
"34","361610","SK아이이테크놀로지","KOSPI","172500","4000","2.37","624159","106735585000","12298834620000","0.46","71297592"
"35","017670","SK텔레콤","KOSPI","55900","800","1.45","1291113","71909552751","12232772749600","0.46","218833144"
"36","018260","삼성에스디에스","KOSPI","154500","-2500","-1.59","157910","24518205000","11954870100000","0.44","77377800"
"37","247540","에코프로비엠","KOSDAQ","545100","10100","1.89","316816","170373570800","11948300916600","0.44","21919466"
"38","033780","KT&G","KOSPI","85700","200","0.23","531091","45538774700","11765966992900","0.44","137292497"
"39","003670","포스코케미칼","KOSPI","149500","3000","2.05","378329","56249340000","11580751390000","0.43","77463220"
"40","034020","두산중공업","KOSPI","21650","450","2.12","4477577","96468987850","11271465996900","0.42","520621986"
"41","251270","넷마블","KOSPI","121500","2500","2.10","505705","61690743000","10443350493000","0.39","85953502"
"42","090430","아모레퍼시픽","KOSPI","177500","6500","3.80","336711","59178556500","10382464722500","0.39","58492759"
"43","003490","대한항공","KOSPI","29650","550","1.89","1989060","58850678200","10312887461250","0.38","347820825"
"44","010950","S-Oil","KOSPI","89600","1500","1.70","409745","36776051800","10087418163200","0.38","112582792"
"45","000810","삼성화재","KOSPI","210500","1000","0.48","100901","21250453500","9972403188500","0.37","47374837"
"46","010130","고려아연","KOSPI","504000","4000","0.80","59198","29898423000","9510480000000","0.35","18870000"
"47","316140","우리금융지주","KOSPI","13050","0","0.00","2100057","27315288100","9501190164450","0.35","728060549"
"48","329180","현대중공업","KOSPI","107000","-1000","-0.93","393768","42336830000","9498723412000","0.35","88773116"
"49","402340","SK스퀘어","KOSPI","65100","500","0.77","3184427","203522291700","9209538872100","0.34","141467571"
"50","263750","펄어비스","KOSDAQ","131200","8600","7.01","942310","121712670100","8688260800000","0.32","66221500"